doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;India;US;Italy;Spain;Germany;date
100.0;100.0;100.0;100.0;102.0;118.0;155.0;120.0;130.0;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;113.0;149.0;229.0;165.0;159.0;1
400.0;200.0;141.4213562373095;114.86983549970351;119.0;219.0;322.0;222.0;196.0;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;142.0;267.0;453.0;259.0;262.0;3
1600.0;400.0;200.0;131.9507910772894;156.0;403.0;655.0;400.0;482.0;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;194.0;519.0;888.0;500.0;670.0;5
6400.0;800.0;282.842712474619;151.5716566510398;244.0;588.0;1128.0;673.0;799.0;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;330.0;962.0;1694.0;1073.0;1040.0;7
25600.0;1600.0;400.0;174.11011265922482;396.0;1285.0;2036.0;1695.0;1176.0;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;499.0;1667.0;2502.0;2277.0;1457.0;9
102400.0;3200.0;565.685424949238;200.0;536.0;2181.0;3089.0;2277.0;1908.0;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;657.0;2729.0;3858.0;5232.0;2078.0;11
409600.0;6400.0;800.0;229.73967099940697;727.0;3536.0;4636.0;6391.0;3675.0;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;887.0;4661.0;5883.0;7798.0;4585.0;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;987.0;6437.0;7375.0;9942.0;5795.0;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;1024.0;7781.0;9172.0;11748.0;7272.0;15
6553600.0;25600.0;1600.0;303.14331330207966;1251.0;13748.0;10149.0;13910.0;9257.0;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;1397.0;19274.0;12462.0;17963.0;12327.0;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;1998.0;25600.0;15113.0;20410.0;15320.0;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;2543.0;33280.0;17660.0;25374.0;19848.0;19
104857600.0;102400.0;3200.0;400.0;2567.0;43862.0;21157.0;28768.0;22213.0;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;3082.0;53925.0;24747.0;35136.0;24873.0;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;3588.0;65844.0;27980.0;39885.0;29056.0;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;4778.0;83836.0;31506.0;49515.0;32986.0;23
