state;cases;changes;cases in the past 7 days;7-day incidence;deaths
Baden-Württem­berg;35150;60;148;1.3;1808
Bayern;47690;48;253;1.9;2540
Berlin;7369;47;318;8.5;208
Branden­burg;3334;5;31;1.2;163
Bremen;1593;1;60;8.8;48
Hamburg;5147;3;25;1.4;255
Hessen;10371;47;119;1.9;495
Meck­lenburg-Vor­pommern;784;2;10;0.6;20
Nieder­sachsen;12950;41;323;4.0;614
Nord­rhein-West­falen;39415;108;654;3.6;1648
Rhein­land-Pfalz;6846;5;39;1.0;231
Saarland;2773;1;15;1.5;168
Sachsen;5349;2;17;0.4;220
Sachsen-Anhalt;1771;3;51;2.3;57
Schles­wig-Holstein;3122;1;8;0.3;151
Thüringen;3175;4;71;3.3;174
Gesamt;186839;378;2142;2.6;8800
