state;cases;changes;cases in the past 7 days;7-day incidence;deaths
Baden-Württem­berg;37514;59;402;3.6;1847
Bayern;51377;98;631;4.8;2624
Berlin;9399;32;289;7.7;223
Branden­burg;3588;9;28;1.1;168
Bremen;1790;3;32;4.7;56
Hamburg;5461;17;105;5.7;261
Hessen;12254;55;425;6.8;523
Meck­lenburg-Vor­pommern;889;9;37;2.3;20
Nieder­sachsen;14671;37;296;3.7;654
Nord­rhein-West­falen;50068;341;1990;11.1;1751
Rhein­land-Pfalz;7618;35;141;3.5;239
Saarland;2891;5;29;2.9;174
Sachsen;5560;12;30;0.7;225
Sachsen-Anhalt;2036;2;33;1.5;64
Schles­wig-Holstein;3516;22;139;4.8;157
Thüringen;3390;5;32;1.5;182
Gesamt;212022;741;4639;5.6;9168
