long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
-66.590149;United States;Puerto Rico;;;18.220833;20057;0;83;0;391;0
-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
-86.902298;United States;Alabama;;US-AL;32.318231;94654;949;1695;29;35401;0
-154.493062;United States;Alaska;;US-AK;63.588753;4183;0;28;0;1017;30
-111.093731;United States;Arizona;;US-AZ;34.048928;182203;1663;3932;82;23944;0
-91.831833;United States;Arkansas;;US-AR;35.20105;46293;912;508;18;38848;848
-119.417932;United States;California;;US-CA;36.778261;529748;1398;10124;0;196383;1550
-105.782067;United States;Colorado;;US-CO;39.550051;48512;0;1858;0;18054;0
-73.087749;United States;Connecticut;;US-CT;41.603221;50225;115;4438;0;26518;0
139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
-75.52767;United States;Delaware;;US-DE;38.910832;15296;159;587;0;8339;36
-77.0369;United States;District of Columbia;;US-DC;38.9072;12443;45;587;0;10015;56
-81.515754;United States;Florida;;US-FL;27.664827;502739;5409;14932;0;47900;0
-82.907123;United States;Georgia;;US-GA;32.157435;201713;3765;3984;58;34111;0
-155.665857;United States;Hawaii;;US-HI;19.898682;2591;0;27;0;1354;0
-114.742041;United States;Idaho;;US-ID;44.068202;22358;0;215;0;7875;0
-89.398528;United States;Illinois;;US-IL;40.633125;187752;1759;7770;28;143355;0
-85.602364;United States;Indiana;;US-IN;40.551217;77571;0;3007;8;46955;0
-93.097702;United States;Iowa;;US-IA;41.878003;46659;408;899;8;34724;684
-98.484246;United States;Kansas;;US-KS;39.011902;29995;642;378;0;17571;449
-84.270018;United States;Kentucky;;US-KY;37.839333;33210;0;771;0;8467;61
-92.145024;United States;Louisiana;;US-LA;31.244823;125943;1458;4096;45;89083;14837
-69.445469;United States;Maine;;US-ME;45.253783;3992;11;124;0;3456;32
-76.641271;United States;Maryland;;US-MD;39.045755;92426;572;3536;6;5749;9
-71.382437;United States;Massachusetts;;US-MA;42.407211;119203;0;8657;0;97595;0
-85.602364;United States;Michigan;;US-MI;44.314844;93893;505;6486;0;60022;0
-94.6859;United States;Minnesota;;US-MN;46.729553;57779;617;1670;10;51223;797
-89.398528;United States;Mississippi;;US-MS;32.354668;63444;1242;1804;49;42391;0
-91.831833;United States;Missouri;;US-MO;37.964253;55896;1111;1355;1;9795;0
-110.362566;United States;Montana;;US-MT;46.879682;4429;67;65;1;2820;54
-99.901813;United States;Nebraska;;US-NE;41.492537;27210;0;343;0;19764;0
-116.419389;United States;Nevada;;US-NV;38.80261;52828;571;890;28;25020;0
-71.572395;United States;New Hampshire;;US-NH;43.193852;6693;0;418;0;5915;0
-74.405661;United States;New Jersey;;US-NJ;40.058324;188645;0;15924;0;140826;0
-105.032363;United States;New Mexico;;US-NM;34.97273;21801;0;661;0;8685;0
-74.217933;United States;New York;;US-NY;43.299428;447213;522;33524;1;327524;3053
-79.0193;United States;North Carolina;;US-NC;35.759573;129476;638;2088;1;105093;0
-101.002012;United States;North Dakota;;US-ND;47.551493;7057;120;108;1;5837;122
145.75;United States;Northern Mariana Islands;;;15.183333;60;0;4;0;11;0
-82.907123;United States;Ohio;;US-OH;40.417287;96321;1185;3605;25;72950;1612
-97.092877;United States;Oklahoma;;US-OK;35.007752;40564;1100;583;16;33383;1064
-120.554201;United States;Oregon;;US-OR;43.804133;19979;278;338;0;3999;0
-77.194525;United States;Pennsylvania;;US-PA;41.203322;120492;715;7334;13;86757;0
-71.477429;United States;Rhode Island;;US-RI;41.580095;19481;91;1012;1;1855;7
-81.163725;United States;South Carolina;;US-SC;33.836081;95472;1281;1894;45;32860;0
-99.901813;United States;South Dakota;;US-SD;43.969515;9168;84;138;0;8080;72
-86.580447;United States;Tennessee;;US-TN;35.517491;114098;1602;1520;0;75550;2291
-99.901813;United States;Texas;;US-TX;31.968599;477458;4982;8060;13;315652;9390
-111.093731;United States;Utah;;US-UT;39.32098;42437;46;329;0;30911;462
-72.577841;United States;Vermont;;US-VT;44.558803;1436;5;58;0;1254;5
-78.656894;United States;Virginia;;US-VA;37.431573;95049;798;2274;30;12385;0
-120.740139;United States;Washington;;US-WA;47.751074;61828;0;1706;0;20197;0
-80.454903;United States;West Virginia;;;38.597626;7159;98;125;1;5218;156
-88.787868;United States;Wisconsin;;US-WI;43.78444;56940;657;970;4;46323;955
-107.290284;United States;Wyoming;;US-WY;43.075968;2885;0;27;0;2214;0
;United States;Veteran Affairs;;;;6692;0;413;0;0;0
;United States;US Military;;;;6213;0;26;0;1947;0
;United States;Navajo Nation;;;;1540;0;58;0;0;0
;United States;Federal Prisons;;;;1047;0;26;0;507;0
;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
